Date,PM2.5,PM10,Average CO (mg/m3),Average SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2021-12-13,3.92,11.916625,0.1713333,,30.5073376,16.8255386,38,3.2,69,8.8,192,0.0,14.2,11.6,71.0,17.8,12.9,-,-,-,-,-,-,1019.5,1018.8,-,12.59,6254.55,602.0483870967741
2021-12-14,3.204555555555556,9.700222222222221,0.2,2.8338129,31.01367,18.8517265,210,2.2,236,5.7,157,5.6,16.5,14.2,76.0,18.9,12.7,-,-,-,-,-,-,1013.9,1013.2,-,8.93,6739.341743119266,642.1570048309179
2021-12-15,2.8777777777777778,6.309666666666667,0.1371489,1.3694964,25.7469788,15.8882732,223,1.5,228,10.8,341,65.8,13.3,12.9,95.0,15.2,12.7,-,-,-,-,-,-,1008.3,1007.6,-,4.44,6513.378440366972,558.7801932367149
2021-12-16,2.4873333333333334,6.134333333333334,0.0904286,2.131295,12.3604345,9.3408699,239,6.5,233,14.4,273,6.6,12.5,12.3,97.0,15.2,11.8,-,-,-,-,-,-,993.8,993.1,-,9.29,6731.23623853211,567.6545893719807
2021-12-17,2.6034444444444444,6.0135555555555555,0.1460922,2.4063309,21.4889202,16.4684181,216,2.2,214,10.3,188,5.4,12.9,12.6,96.0,18.0,12.1,-,-,-,-,-,-,996.2,995.5,-,15.35,7137.059633027523,572.0289855072464
2021-12-18,2.602777777777778,6.671,0.1705816,1.8845139,25.2123737,17.107914,20,2.1,70,9.3,268,0.0,14.9,12.4,73.0,21.7,9.4,-,-,-,-,-,-,1007.6,1006.9,-,32.94,5759.725247524752,304.9554973821989
2021-12-19,3.672222222222222,12.574444444444445,0.1488723,0.5796528,22.5071945,17.1196404,56,2.5,53,7.7,163,0.0,18.3,12.4,46.0,26.5,13.2,-,-,-,-,-,-,1014.1,1013.4,-,28.98,5327.341121495327,252.9014778325123
2021-12-20,4.64,27.034222222222223,0.1641064,0.3749306,24.0681286,20.2900009,305,4.0,342,16.0,325,0.0,24.7,15.4,32.0,28.5,14.2,-,-,-,-,-,-,1006.5,1005.8,-,25.55,6755.436915887851,590.4014778325123
2021-12-21,3.7005555555555554,15.202444444444446,0.1510709,2.173125,21.1574097,16.8574829,310,5.0,281,12.9,275,0.0,23.3,14.2,31.0,27.9,15.4,-,-,-,-,-,-,998.1,997.4,-,33.91,7087.455607476635,615.1945812807882
2021-12-22,5.344333333333333,23.728333333333335,0.2020567,2.9699281,28.7042446,24.0568352,352,2.6,329,11.3,287,0.0,24.2,15.1,33.0,31.4,12.8,-,-,-,-,-,-,1000.4,999.7,-,33.87,7340.164351851852,604.5487804878048
2021-12-23,6.822777777777778,21.468888888888888,0.1439575,2.0061806,23.5499992,13.4858274,63,3.8,108,12.4,362,0.2,16.2,13.2,69.0,20.0,13.3,-,-,-,-,-,-,1007.1,1006.4,-,29.00,7291.623287671233,533.7043269230769
2021-12-24,3.3412222222222225,9.398333333333333,0.083766,0.5238194,9.5852518,7.4605036,234,3.8,214,10.3,257,0.0,15.1,13.4,82.0,19.7,13.8,-,-,-,-,-,-,1014.2,1013.5,-,19.15,6316.8059360730595,364.15625
2021-12-25,3.3504444444444443,10.030333333333333,0.0661489,0.3738889,11.081439,7.3348203,20,0.9,72,11.8,327,0.0,16.4,12.2,58.0,19.2,8.7,-,-,-,-,-,-,1024.5,1023.8,-,25.31,4492.75799086758,85.13461538461539
2021-12-26,3.3263333333333334,10.333666666666666,0.1715745,0.6002083,22.7510796,14.587698,65,3.0,77,9.8,239,0.0,18.1,14.1,62.0,26.4,12.2,-,-,-,-,-,-,1014.3,1013.6,-,33.52,4935.6164383561645,202.98557692307693
2021-12-27,3.067444444444445,8.554555555555556,0.1083121,0.2794964,15.095252,11.1938133,200,2.8,218,10.8,243,5.8,20.8,16.1,59.0,20.7,15.0,-,-,-,-,-,-,1008.4,1007.7,-,17.57,4737.3110599078345,270.2888349514563
2021-12-28,1.9232222222222224,4.370222222222222,0.1011135,0.470625,14.9116545,9.3099279,244,2.3,229,8.8,153,6.2,14.5,14.1,95.0,16.9,13.9,-,-,-,-,-,-,1006.4,1005.7,-,6.34,4295.253456221199,237.90776699029126
2021-12-29,2.2453333333333334,6.223111111111112,0.168461,1.1117361,31.2751083,15.8397121,41,0.5,9,8.2,218,1.0,13.6,12.7,90.0,18.8,11.5,-,-,-,-,-,-,1006.2,1005.5,-,18.34,5072.6036866359445,375.1116504854369
2021-12-30,3.028,8.430666666666667,0.1371773,2.3698611,20.1843166,13.7080574,28,1.9,52,8.2,197,4.8,16.8,13.1,63.0,24.9,10.4,-,-,-,-,-,-,1003.6,1002.9,-,29.41,5253.605990783411,387.3616504854369
2021-12-31,3.889444444444444,10.397555555555556,0.1406028,0.7379167,21.9603596,12.8959713,57,3.7,57,8.8,204,0.0,15.3,12.7,72.0,22.1,11.7,-,-,-,-,-,-,1012.1,1011.4,-,22.04,5043.433179723503,312.31067961165047
