Date,Daily Average CO (mg/m3),Daily Average NO (ug/m3),Daily Average NO2 (ug/m3),Daily Average SO2 (ug/m3),Daily Average PM2.5 (ug/m3),Daily Average PM10 (ug/m3),WDir(Deg),WSpd(m/s),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tdry(C),TWet(C),RH(%),Tmax(C),Tmin(C),Tgmin(C),ET05(C),ET10(C),ET20(C),ET30(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),lightCount,heavyCount
2023-01-31,0.1650709,30.4807186,19.6140289,,4.2583333,11.3458333,234,0.9,43,9.8,291,0.0,19.4,17.4,81.0,24.5,16.5,-,-,-,-,-,-,1020.9,1020.2,-,17.72,5946.445945945946,581.8981900452488
2023-02-01,0.1452624,25.7105045,14.357482,,9.6583333,31.3999997,51,3.1,89,10.3,320,0.0,19.4,17.7,84.0,22.1,18.2,-,-,-,-,-,-,1013.9,1013.2,-,12.39,6184.362068965517,592.5403587443947
2023-02-02,0.2290497,39.0870132,21.4971523,,7.6625,29.6166666,61,2.9,290,10.8,233,0.6,21.2,18.3,74.0,31.8,18.2,-,-,-,-,-,-,1004.9,1004.2,-,14.81,6677.138783269962,617.8777777777777
2023-02-03,0.2048369,39.3984909,27.0644608,,4.4434782,21.8304347,8,2.2,259,8.8,192,0.0,25.0,18.8,53.0,33.8,20.0,-,-,-,-,-,-,1009.6,1008.9,-,23.74,5225.136531365313,298.862660944206
2023-02-04,0.1630567,21.3266907,21.29669,,2.5125,10.1624999,189,1.3,81,9.3,255,0.0,26.0,19.1,49.0,33.1,17.8,-,-,-,-,-,-,1015.6,1014.9,-,29.02,4467.239852398524,207.52789699570815
2023-02-05,0.1597518,20.2617264,14.1117268,,4.3625,14.7333334,34,3.7,332,11.3,293,0.4,26.5,19.5,49.0,28.8,21.8,-,-,-,-,-,-,1006.1,1005.4,-,8.56,4818.450184501845,308.81974248927037
2023-02-06,0.1149291,14.2486334,14.6830215,,2.3458333,13.9291667,5,3.2,259,10.8,258,0.0,24.3,16.0,38.0,32.4,18.3,-,-,-,-,-,-,998.5,997.8,-,24.67,5813.828070175438,564.1548117154812
2023-02-07,0.1283333,24.602375,17.5602875,,4.1416666,18.1249998,56,3.7,222,11.3,293,0.0,19.8,16.5,70.0,30.2,16.5,-,-,-,-,-,-,1003.5,1002.8,-,28.97,5905.289198606271,586.6514522821577
2023-02-08,0.1519291,30.614172,18.5105038,,5.4,19.0619049,59,3.7,70,9.8,254,0.0,17.2,13.2,61.0,22.8,14.1,-,-,-,-,-,-,1002.8,1002.1,-,27.45,5946.010452961673,601.1203319502075
2023-02-09,0.1729575,34.1339722,18.0709934,,3.3913044,9.7086957,347,1.1,94,9.8,211,1.6,15.4,12.7,72.0,21.7,10.5,-,-,-,-,-,-,1009.8,1009.1,-,22.94,6300.803691275168,600.2530364372469
